"R_anti_pad [um]","Freq [GHz]","dB(St(Trace_out_L1_T1,Trace_out_L1_T1)) []","dB(St(Trace_out_L1_T2,Trace_out_L1_T1)) []"
300,1.25892541179417E-05,-76.9672957267735,-0.00109897989601938
300,1.41253754462276E-05,-76.9673045770677,-0.00109898270990492
300,1.58489319246111E-05,-76.9673158053818,-0.00109898625083299
300,1.77827941003892E-05,-76.9673299865938,-0.00109899071534489
300,1.99526231496888E-05,-76.9673479304139,-0.00109899635108425
300,2.23872113856834E-05,-76.9673702948975,-0.0010990034132743
300,2.51188643150958E-05,-76.9673986483207,-0.00109901231870479
300,2.81838293126445E-05,-76.967434455176,-0.00109902353106375
300,3.16227766016838E-05,-76.967479478682,-0.00109903763981404
300,3.54813389233575E-05,-76.9675364642558,-0.00109905542323652
300,3.98107170553497E-05,-76.9676083777169,-0.00109907778896691
300,4.46683592150963E-05,-76.9676993136663,-0.00109910594754754
300,5.01187233627273E-05,-76.9678144437069,-0.00109914141210329
300,5.62341325190349E-05,-76.9679602956114,-0.00109918604137632
300,6.30957344480193E-05,-76.9681455284299,-0.00109924224462628
300,7.07945784384137E-05,-76.9683811677862,-0.00109931299677413
300,7.94328234724282E-05,-76.9686816494244,-0.00109940205484013
300,8.91250938133746E-05,-76.9690661238397,-0.00109951416627373
300,0.0001,-76.9695599536725,-0.00109965533230822
300,0.000112201845430196,-76.9701971081062,-0.00109983303739396
300,0.000125892541179417,-76.9710235427652,-0.00110005675077524
300,0.000141253754462276,-76.9721025915137,-0.0011003383919633
300,0.000158489319246111,-76.9735219604461,-0.00110069295352202
300,0.000177827941003892,-76.9754050739294,-0.00110113932048156
300,0.000199526231496888,-76.9779274414853,-0.00110170125850268
300,0.000223872113856834,-76.9813419025863,-0.00110240870674527
300,0.000251188643150958,-76.9860160234155,-0.0011032993217163
300,0.000281838293126446,-76.9924898081581,-0.00110442053231022
300,0.000316227766016838,-77.0015626641936,-0.00110583203422666
300,0.000354813389233575,-77.0144254607914,-0.0011076089954441
300,0.000398107170553497,-77.0328602679491,-0.00110984602880502
300,0.000446683592150963,-77.059541390752,-0.0011126622302976
300,0.000501187233627273,-77.0984866654907,-0.00111620757508749
300,0.000562341325190349,-77.155726359553,-0.00112067077086897
300,0.000630957344480193,-77.2402868520349,-0.00112628943915991
300,0.000707945784384137,-77.3656022241761,-0.0011333626439304
300,0.000794328234724282,-77.5514513945916,-0.00114226683688884
300,0.000891250938133746,-77.8262856540479,-0.00115347584695934
300,0.001,-78.2286591892309,-0.00116759008831693
300,0.00112201845430196,-78.7147281987652,-0.00118532168054935
300,0.00125892541179417,-79.1902718511695,-0.00120675066245359
300,0.00141253754462276,-79.6210946088307,-0.00123161617902679
300,0.00158489319246111,-79.9685982586448,-0.00125963460839293
300,0.00177827941003892,-80.1931574651351,-0.00129049787934959
300,0.00199526231496888,-80.2603586717211,-0.00132390728704214
300,0.00223872113856834,-80.1489181721833,-0.0013596414110355
300,0.00251188643150958,-79.856776433947,-0.00139764249341347
300,0.00281838293126445,-79.4017258926008,-0.00143810065134848
300,0.00316227766016838,-78.8161611550213,-0.00148151939079183
300,0.00354813389233575,-78.1392233123557,-0.00152875455314426
300,0.00398107170553497,-77.4101924629919,-0.00158102675843838
300,0.00446683592150963,-76.664812338595,-0.00163991131189539
300,0.00501187233627272,-75.9340053097059,-0.00170730901123287
300,0.00562341325190349,-75.2435622694217,-0.00178539804681402
300,0.00630957344480193,-74.6135537946823,-0.00187656374455054
300,0.00707945784384137,-74.0567427469382,-0.00198330152355489
300,0.00794328234724282,-73.5759182347983,-0.00210809050790336
300,0.00891250938133746,-73.160907748639,-0.00225324095287464
300,0.01,-72.7871677149399,-0.00242072717621452
300,0.0112201845430196,-72.4188338196751,-0.00261202773819924
300,0.0125892541179417,-72.01825939694,-0.00282800498873789
300,0.0141253754462276,-71.5596413529707,-0.00306886484529425
300,0.0158489319246111,-71.038810544437,-0.00333423985191525
300,0.0177827941003892,-70.4720702917277,-0.00362342583712417
300,0.0199526231496888,-69.8856889846008,-0.0039357684588743
300,0.0223872113856834,-69.3043495652314,-0.00427114550754538
300,0.0251188643150958,-68.7447486300929,-0.00463044353156239
300,0.0281838293126445,-68.2147449374307,-0.00501590726336294
300,0.0316227766016838,-67.7153688604303,-0.00543125974132791
300,0.0354813389233575,-67.243154054638,-0.00588154295600361
300,0.0398107170553497,-66.7915932218914,-0.00637269490035225
300,0.0446683592150963,-66.3517336898026,-0.00691094319934873
300,0.0501187233627272,-65.9126071267866,-0.00750215123015492
300,0.0562341325190349,-65.4622116086674,-0.00815129715328256
300,0.0630957344480193,-64.9891471295212,-0.00886229160192433
300,0.0707945784384137,-64.4841097376191,-0.00963832962725811
300,0.0794328234724282,-63.9400105042167,-0.0104829118129052
300,0.0891250938133746,-63.3500126818383,-0.0114015625420563
300,0.1,-62.7038798483603,-0.0124041565906687
300,0.11,-61.7579554613734,-0.0125719480235162
300,0.12,-60.8811906351524,-0.0127553128075995
300,0.13,-60.0636666209876,-0.012954146775647
300,0.14,-59.2978072311177,-0.0131683392665328
300,0.15,-58.5776906434392,-0.0133977735726151
300,0.16,-57.8985864640164,-0.0136423273637801
300,0.17,-57.2566375458645,-0.013901873082675
300,0.18,-56.6486374124473,-0.0141762783072069
300,0.19,-56.0718722368549,-0.0144654060778012
300,0.2,-55.5240072000195,-0.0147691151886496
300,0.21,-55.0030038072592,-0.0150872604431071
300,0.22,-54.5070590643455,-0.0154196928749582
300,0.23,-54.0345602476233,-0.0157662599379524
300,0.24,-53.5840508985176,-0.0161268056669251
300,0.25,-53.1542049627874,-0.0165011708141758
300,0.26,-52.7438068849899,-0.0168891929652234
300,0.27,-52.3517360897507,-0.0172907066380554
300,0.28,-51.9769547190523,-0.017705543370101
300,0.29,-51.6184978054672,-0.0181335317966895
300,0.3,-51.2754652833365,-0.0185744977248478
300,0.31,-50.9470153995474,-0.0190282642055528
300,0.32,-50.6323592009175,-0.0194946516074052
300,0.33,-50.3307558588583,-0.0199734776940456
300,0.34,-50.0415086530295,-0.0204645577074202
300,0.35,-49.7639614802461,-0.0209677044582786
300,0.36,-49.4974957876978,-0.0214827284250546
300,0.37,-49.2415278536354,-0.0220094378618899
300,0.38,-48.9955063565453,-0.0225476389161069
300,0.39,-48.7589101870698,-0.0230971357552509
300,0.4,-48.5312464668246,-0.0236577307033806
300,0.41,-48.312048745666,-0.0242292243862907
300,0.42,-48.1008753545262,-0.0248114158850456
300,0.43,-47.897307895194,-0.0254041028968791
300,0.44,-47.7009498516213,-0.0260070819028684
300,0.45,-47.5114253098405,-0.0266201483412343
300,0.46,-47.328377775523,-0.0272430967852547
300,0.47,-47.1514690797104,-0.0278757211249461
300,0.48,-46.9803783644916,-0.0285178147513107
300,0.49,-46.8148011413654,-0.0291691707421487
300,0.5,-46.6544484158417,-0.0298295820486032
300,0.51,-46.4990458725098,-0.0304988416812597
300,0.52,-46.3483331153531,-0.0311767428951091
300,0.53,-46.2020629586189,-0.0318630793724085
300,0.54,-46.0600007639257,-0.0325576454026917
300,0.55,-45.9219238197132,-0.0332602360592498
300,0.56,-45.7876207594643,-0.03397064737138
300,0.57,-45.6568910154171,-0.034688676491847
300,0.58,-45.5295443047821,-0.0354141218590601
300,0.59,-45.4054001457432,-0.0361467833534807
300,0.6,-45.2842874007187,-0.0368864624478974
300,0.61,-45.166043844624,-0.0376329623512617
300,0.62,-45.0505157560402,-0.0383860881457774
300,0.63,-44.9375575294093,-0.0391456469170562
300,0.64,-44.8270313065308,-0.0399114478771961
300,0.65,-44.7188066258102,-0.0406833024806385
300,0.66,-44.6127600878548,-0.0414610245327711
300,0.67,-44.5087750361514,-0.0422444302912585
300,0.68,-44.4067412516964,-0.0430333385600379
300,0.69,-44.3065546605603,-0.0438275707761383
300,0.7,-44.2081170534775,-0.0446269510893175
300,0.71,-44.1113358166658,-0.0454313064347074
300,0.72,-44.0161236731571,-0.0462404665983927
300,0.73,-43.9223984340056,-0.0470542642764747
300,0.74,-43.8300827588294,-0.0478725351272608
300,0.75,-43.7391039251897,-0.0486951178172732
300,0.76,-43.64939360638,-0.0495218540608948
300,0.77,-43.5608876572631,-0.0503525886541112
300,0.78,-43.4735259078133,-0.0511871695024093
300,0.79,-43.3872519640939,-0.0520254476431527
300,0.8,-43.3020130164059,-0.0528672772626479
300,0.81,-43.2177596543974,-0.0537125157080675
300,0.82,-43.1344456889366,-0.0545610234946221
300,0.83,-43.0520279805696,-0.0554126643079764
300,0.84,-42.9704662744148,-0.0562673050024666
300,0.85,-42.8897230413442,-0.0571248155950487
300,0.86,-42.80976332532,-0.0579850692553876
300,0.87,-42.730554596768,-0.0588479422922964
300,0.88,-42.6520666118593,-0.0597133141366905
300,0.89,-42.5742712775902,-0.0605810673213897
300,0.9,-42.4971425225446,-0.0614510874577999
300,0.91,-42.4206561732279,-0.0623232632099322
