"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
7.07945784384138E-06,-0.000108025825788238
7.94328234724281E-06,-0.000108026271598513
8.91250938133746E-06,-0.000108026832839257
1E-05,-0.0001080275394021
1.12201845430196E-05,-0.000108028428912675
1.25892541179417E-05,-0.000108029548738373
1.41253754462276E-05,-0.000108030958515874
1.58489319246111E-05,-0.00010803273332479
1.77827941003892E-05,-0.000108034967674248
1.99526231496888E-05,-0.000108037780556022
2.23872113856834E-05,-0.000108041321765783
2.51188643150958E-05,-0.000108045779889757
2.81838293126445E-05,-0.000108051392345429
3.16227766016838E-05,-0.000108058458016315
3.54813389233575E-05,-0.000108067353181894
3.98107170553497E-05,-0.000108078551563325
4.46683592150963E-05,-0.00010809264952936
5.01187233627273E-05,-0.000108110397880006
5.62341325190349E-05,-0.0001081327418348
6.30957344480193E-05,-0.000108160871374224
7.07945784384137E-05,-0.000108196284624787
7.94328234724282E-05,-0.000108240867682242
8.91250938133746E-05,-0.00010829699507843
0.0001,-0.000108367656322914
0.000112201845430196,-0.000108456615204217
0.000125892541179417,-0.000108568610409189
0.000141253754462276,-0.000108709608154098
0.000158489319246111,-0.00010888712034751
0.000177827941003892,-0.000109110605346126
0.000199526231496888,-0.000109391972744795
0.000223872113856834,-0.000109746219398136
0.000251188643150958,-0.000110192230848269
0.000281838293126446,-0.000110753791517701
0.000316227766016838,-0.000111460858352803
0.000354813389233575,-0.000112351167328173
0.000398107170553497,-0.000113472260749692
0.000446683592150963,-0.000114884047123839
0.000501187233627273,-0.000116662036021588
0.000562341325190349,-0.000118901429758938
0.000630957344480193,-0.000121722305058532
0.000707945784384137,-0.000125276184729262
0.000794328234724282,-0.000129754387553138
0.000891250938133746,-0.000135398661645696
0.001,-0.000142518807339454
0.00112201845430196,-0.000151449599084291
0.00125892541179417,-0.00016258757275715
0.00141253754462276,-0.000176445728562902
0.00158489319246111,-0.000193638551047594
0.00177827941003892,-0.000214892571051819
0.00199526231496888,-0.00024105275078774
0.00223872113856834,-0.000273081407750898
0.00251188643150958,-0.000312045553805833
0.00281838293126445,-0.000359088171326581
0.00316227766016838,-0.000415379733823667
0.00354813389233575,-0.000482049059671176
0.00398107170553497,-0.000560098143748184
0.00446683592150963,-0.000650314052747941
0.00501187233627272,-0.000753200911303726
0.00562341325190349,-0.000868962990409955
0.00630957344480193,-0.000997570930993959
0.00707945784384137,-0.00113893294757932
0.00794328234724282,-0.00129317146434659
0.00891250938133746,-0.00146097951674721
0.01,-0.00164401144555284
0.0112201845430196,-0.00184525834994923
0.0125892541179417,-0.00206937194482448
0.0141253754462276,-0.00232292312050977
0.0158489319246111,-0.00261460141225316
0.0177827941003892,-0.00295536886068447
0.0199526231496888,-0.00335857249597467
0.0223872113856834,-0.00383999512168007
0.0251188643150958,-0.0044177873542675
0.0281838293126445,-0.00511217772137208
0.0316227766016838,-0.00594480440687907
0.0354813389233575,-0.00693745635893222
0.0398107170553497,-0.00810996328118511
0.0446683592150963,-0.00947695387441073
0.0501187233627272,-0.0110432419759114
0.0562341325190349,-0.0127977410439319
0.0630957344480193,-0.0147060802544413
0.0707945784384137,-0.0167024918438329
0.0794328234724282,-0.0186819721222741
0.0891250938133746,-0.0204940035592828
0.1,-0.0219390249982669
0.11,-0.0231554088127478
0.12,-0.0242610136565168
0.13,-0.0252573416184659
0.14,-0.0261494268434804
0.15,-0.0269442935435991
0.16,-0.0276498900475177
0.17,-0.0282743895275633
0.18,-0.0288257568802112
0.19,-0.029311500232359
0.2,-0.0297385456289469
0.21,-0.0301131908157981
0.22,-0.0304411076197673
0.23,-0.0307273724522991
0.24,-0.0309765115675769
0.25,-0.0311925525975296
0.26,-0.0313790771749695
0.27,-0.0315392716218622
0.28,-0.0316759740767601
0.29,-0.0317917173155675
0.3,-0.0318887670579334
0.31,-0.0319691558672266
0.32,-0.0320347129245723
0.33,-0.0320870900408445
0.34,-0.0321277842983951
0.35,-0.0321581577103666
0.36,-0.0321794542632314
