"Freq [GHz]","dB(St(microstrip_feed_T1,microstrip_feed_T1)) []"
5.62341325190349E-05,-4.12893969931832E-09
6.30957344480193E-05,-4.14104008037439E-09
7.07945784384137E-05,-4.1562735613708E-09
7.94328234724282E-05,-4.17545114170735E-09
8.91250938133746E-05,-4.19959790148148E-09
0.0001,-4.22999350324199E-09
0.000112201845430196,-4.26825898146101E-09
0.000125892541179417,-4.31643485305889E-09
0.000141253754462276,-4.37708430044318E-09
0.000158489319246111,-4.45344264226608E-09
0.000177827941003892,-4.5495735544742E-09
0.000199526231496888,-4.67059954457327E-09
0.000223872113856834,-4.82297196331916E-09
0.000251188643150958,-5.01480659067671E-09
0.000281838293126446,-5.25633494107485E-09
0.000316227766016838,-5.56042982187698E-09
0.000354813389233575,-5.94331314974311E-09
0.000398107170553497,-6.42541130909528E-09
0.000446683592150963,-7.03246316438059E-09
0.000501187233627273,-7.79688844075233E-09
0.000562341325190349,-8.75955340767076E-09
0.000630957344480193,-9.9719714741966E-09
0.000707945784384137,-1.14990920240475E-08
0.000794328234724282,-1.34228597483134E-08
0.000891250938133746,-1.58466958752515E-08
0.001,-2.2943950286456E-08
0.00112201845430196,-2.8885683883503E-08
0.00125892541179417,-3.63659055310587E-08
0.00141253754462276,-4.57829866262416E-08
0.00158489319246111,-5.76384517144874E-08
0.00177827941003892,-7.25636961484133E-08
0.00199526231496888,-9.13536199044852E-08
0.00223872113856834,-1.15008980850562E-07
0.00251188643150958,-1.44789699883528E-07
0.00281838293126445,-1.82282010921194E-07
0.00316227766016838,-2.29483002547726E-07
0.00354813389233575,-2.88907042190082E-07
0.00398107170553497,-3.63719860118438E-07
0.00446683592150963,-4.57907356016216E-07
0.00501187233627272,-5.76488238139172E-07
0.00562341325190349,-7.25781850047801E-07
0.00630957344480193,-9.1374556018751E-07
0.00707945784384137,-1.15039979167054E-06
0.00794328234724282,-1.44836356139851E-06
0.00891250938133746,-1.82352928398562E-06
0.01,-2.29591306572824E-06
0.0112201845430196,-2.8907262849837E-06
0.0125892541179417,-3.63972592394801E-06
0.0141253754462276,-4.58291621475376E-06
0.0158489319246111,-5.77069292253846E-06
0.0177827941003892,-7.26654554405133E-06
0.0199526231496888,-9.15046316997454E-06
0.0223872113856834,-1.15232289077158E-05
0.0251188643150958,-1.45118383330816E-05
0.0281838293126445,-1.82763429826599E-05
0.0316227766016838,-2.30185051666794E-05
0.0354813389233575,-2.89927615795242E-05
0.0398107170553497,-3.65201400893493E-05
0.0446683592150963,-4.60059703682665E-05
0.0501187233627272,-5.79624980236074E-05
0.0562341325190349,-7.30378893610491E-05
0.0630957344480193,-9.20536600759504E-05
0.0707945784384137,-0.000116053376495685
0.0794328234724282,-0.000146366736939787
0.0891250938133746,-0.000184695150472031
0.1,-0.000233228239618694
0.11,-0.000173781808923613
0.12,-0.000111345111968434
0.13,-4.66168323295677E-05
0.14,1.96560744633728E-05
0.15,8.66812234130575E-05
0.16,0.000153623766247838
0.17,0.000219609461324043
0.18,0.000283727826883148
0.19,0.000345035357408713
0.2,0.000402558782893446
0.21,0.00045529835120187
0.22,0.000502231114227592
0.23,0.000542314199155344
0.24,0.000574488046956256
0.25,0.000597679601154061
0.26,0.000610805430890203
0.27,0.000612774773407838
0.28,0.000602492482243111
0.29,0.000578861868604524
0.3,0.00054078742467971
0.31,0.00048717741879453
0.32,0.000416946353697069
0.33,0.000329017280326441
0.34,0.000222323960773795
0.35,9.58128751604609E-05
0.36,-5.15549317050543E-05
0.37,-0.00022080216690543
0.38,-0.000412933771523678
0.39,-0.000628935569437491
0.4,-0.000869773083394686
0.41,-0.00113639051816418
0.42,-0.00142970991000498
0.43,-0.00175063044124289
0.44,-0.00210002791834549
0.45,-0.00247875441159714
0.46,-0.00288763805441777
0.47,-0.00332748300019415
0.48,-0.00379906953470571
0.49,-0.00430315434228052
0.5,-0.00484047092430405
0.51,-0.00541173016889569
0.52,-0.00601762107139675
0.53,-0.00665881160580541
0.54,-0.0073359497481946
0.55,-0.00804966465418572
0.56,-0.00880056799355957
0.57,-0.00958925544653661
0.58,-0.0104163083676756
0.59,-0.011282295625013
0.6,-0.012187775624132
0.61,-0.0131332985288953
0.62,-0.0141194086931566
0.63,-0.0151466473205631
0.64,-0.0162155553727327
0.65,-0.0173266767497685
0.66,-0.0184805617711164
0.67,-0.0196777709895809
0.68,-0.0209188793765436
0.69,-0.0222044809226532
0.7,-0.0235351937051317
0.71,-0.0249116654810116
0.72,-0.0263345798745613
0.73,-0.0278046632378929
0.74,-0.0293226922757895
0.75,-0.0308895025395444
0.76,-0.0325059979108354
0.77,-0.03417316121472
0.78,-0.0358920661222141
0.79,-0.0376638905268764
0.8,-0.0394899316077444
0.81,-0.0413716228224832
0.82,-0.043310553111049
0.83,-0.0453084886308579
0.84,-0.0473673973910837
0.85,-0.0494894772055426
0.86,-0.0516771874412282
0.87,-0.0539332851029044
0.88,-0.0562608658619448
0.89,-0.0586634107089867
