"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
0,-0.000114426387214148
1E-09,-0.000114426387213184
1.12201845430196E-09,-0.000114426387214148
1.25892541179417E-09,-0.000114426387215112
1.41253754462275E-09,-0.000114426387214148
1.58489319246111E-09,-0.000114426387214148
1.77827941003892E-09,-0.000114426387215112
1.99526231496888E-09,-0.000114426387214148
2.23872113856834E-09,-0.000114426387213184
2.51188643150958E-09,-0.000114426387214148
2.81838293126445E-09,-0.000114426387214148
3.16227766016838E-09,-0.000114426387215112
3.54813389233575E-09,-0.000114426387214148
3.98107170553497E-09,-0.000114426387216077
4.46683592150963E-09,-0.000114426387215112
5.01187233627272E-09,-0.000114426387216077
5.62341325190349E-09,-0.000114426387216077
6.30957344480193E-09,-0.000114426387216077
7.07945784384138E-09,-0.000114426387217041
7.94328234724282E-09,-0.000114426387217041
8.91250938133745E-09,-0.000114426387218005
1E-08,-0.000114426387217041
1.12201845430196E-08,-0.000114426387220898
1.25892541179417E-08,-0.000114426387220898
1.41253754462275E-08,-0.000114426387221863
1.58489319246111E-08,-0.000114426387223791
1.77827941003892E-08,-0.00011442638722572
1.99526231496888E-08,-0.000114426387228613
2.23872113856834E-08,-0.000114426387234399
2.51188643150958E-08,-0.000114426387237292
2.81838293126445E-08,-0.000114426387245007
3.16227766016838E-08,-0.000114426387250793
3.54813389233575E-08,-0.000114426387262365
3.98107170553497E-08,-0.000114426387274901
4.46683592150963E-08,-0.000114426387289366
5.01187233627272E-08,-0.000114426387310582
5.62341325190349E-08,-0.000114426387333726
6.30957344480193E-08,-0.000114426387362656
7.07945784384138E-08,-0.00011442638740123
7.94328234724281E-08,-0.00011442638745234
8.91250938133746E-08,-0.000114426387514058
1E-07,-0.000114426387592169
1.12201845430196E-07,-0.000114426387688603
1.25892541179417E-07,-0.000114426387811074
1.41253754462275E-07,-0.000114426387966333
1.58489319246111E-07,-0.00011442638816113
1.77827941003892E-07,-0.000114426388405108
1.99526231496888E-07,-0.000114426388712732
2.23872113856834E-07,-0.000114426389101362
2.51188643150958E-07,-0.000114426389591246
2.81838293126445E-07,-0.000114426390203602
3.16227766016838E-07,-0.000114426390977968
3.54813389233575E-07,-0.000114426391952915
3.98107170553497E-07,-0.000114426393180521
4.46683592150963E-07,-0.000114426394723465
5.01187233627272E-07,-0.000114426396669503
5.62341325190349E-07,-0.000114426399116999
6.30957344480193E-07,-0.000114426402197101
7.07945784384138E-07,-0.00011442640607857
7.94328234724281E-07,-0.000114426410961989
8.91250938133746E-07,-0.000114426417109658
1E-06,-0.000114426424852345
1.12201845430196E-06,-0.000114426434596038
1.25892541179417E-06,-0.000114426446863409
1.41253754462275E-06,-0.000114426462309246
1.58489319246111E-06,-0.000114426481752272
1.77827941003892E-06,-0.000114426506231083
1.99526231496888E-06,-0.000114426537050431
2.23872113856834E-06,-0.000114426575845836
2.51188643150958E-06,-0.000114426624685808
2.81838293126445E-06,-0.00011442668617503
3.16227766016838E-06,-0.000114426763582616
3.54813389233575E-06,-0.000114426861032083
