"Freq [GHz]","dB(St(sma_cpw_Unnamed_4_T1,sma_cpw_Unnamed_4_T1)) []","dB(St(micro_line_T1,sma_cpw_Unnamed_4_T1)) []"
1.25892541179417E-05,-76.9296323921767,-0.00113842579255763
1.41253754462276E-05,-76.9234110292865,-0.00113843274108896
1.58489319246111E-05,-76.9155915796427,-0.00113844149621984
1.77827941003892E-05,-76.905767433152,-0.00113845251703322
1.99526231496888E-05,-76.8934311867275,-0.00113846639157304
2.23872113856834E-05,-76.8779504880759,-0.00113848385219733
2.51188643150958E-05,-76.8585399247006,-0.00113850585079511
2.81838293126445E-05,-76.8342263685506,-0.00113853352729206
3.16227766016838E-05,-76.8038101794282,-0.00113856837613748
3.54813389233575E-05,-76.7658196910161,-0.00113861225022387
3.98107170553497E-05,-76.7184614174254,-0.00113866748632189
4.46683592150963E-05,-76.6595677158808,-0.00113873701269704
5.01187233627273E-05,-76.5865457696694,-0.00113882455835187
5.62341325190349E-05,-76.4963330914104,-0.00113893476293911
6.30957344480193E-05,-76.385370305044,-0.00113907350807683
7.07945784384137E-05,-76.2496013243841,-0.00113924818134291
7.94328234724282E-05,-76.0845167943634,-0.00113946806753604
8.91250938133746E-05,-75.8852556782082,-0.0011397448990749
0.0001,-75.6467764325456,-0.00114009340582183
0.000112201845430196,-75.3641033363984,-0.00114053216067155
0.000125892541179417,-75.0326365311882,-0.00114108452667075
0.000141253754462276,-74.6484989228034,-0.00114177991972426
0.000158489319246111,-74.208873815612,-0.00114265538691545
0.000177827941003892,-73.7122777856492,-0.00114375756095247
0.000199526231496888,-73.158717713409,-0.00114514515226743
0.000223872113856834,-72.5497001537615,-0.00114689208882249
0.000251188643150958,-71.888092007406,-0.00114909145028763
0.000281838293126446,-71.1778624560771,-0.00115186043925357
0.000316227766016838,-70.4237570039633,-0.00115534663731077
0.000354813389233575,-69.6309598479163,-0.00115973589258391
0.000398107170553497,-68.8047917978174,-0.00116526225965236
0.000446683592150963,-67.950473886474,-0.00117222052897531
0.000501187233627273,-67.0729688107014,-0.00118098203217882
0.000562341325190349,-66.1768981279977,-0.00119201458376202
0.000630957344480193,-65.2665247463662,-0.00120590765912198
0.000707945784384137,-64.3457877784319,-0.00122340420465706
0.000794328234724282,-63.4183775004458,-0.00124544086473434
0.000891250938133746,-62.4878418386877,-0.00127319890721729
0.001,-61.5577201118618,-0.00130817281454517
0.00112201845430196,-60.6241547190838,-0.00134784666291208
0.00125892541179417,-59.6822284397582,-0.00138792793545055
0.00141253754462276,-58.7337598468333,-0.0014276122071356
0.00158489319246111,-57.7801548746292,-0.00146624537803889
0.00177827941003892,-56.8224286545619,-0.00150340248445228
0.00199526231496888,-55.8612465329507,-0.00153893239262794
0.00223872113856834,-54.8969849485485,-0.00157296726506562
0.00251188643150958,-53.9298083554484,-0.00160590413455233
0.00281838293126445,-52.9597532896134,-0.00163836982170248
0.00316227766016838,-51.9868075977541,-0.00167117980969842
0.00354813389233575,-51.0109736029262,-0.00170529831526832
0.00398107170553497,-50.0323083992286,-0.00174180281959362
0.00446683592150963,-49.050940511247,-0.00178185338510057
0.00501187233627272,-48.0670672819598,-0.00182666609365522
0.00562341325190349,-47.0809399692029,-0.00187749121814126
0.00630957344480193,-46.0928435180493,-0.00193560011731623
0.00707945784384137,-45.1030762565319,-0.00200228956812201
0.00794328234724282,-44.1119325034542,-0.00207891679164458
0.00891250938133746,-43.1196891346351,-0.00216698060295001
0.01,-42.1265959149579,-0.00226826188571753
0.0112201845430196,-41.1328688961755,-0.00238502949682377
0.0125892541179417,-40.1386862432257,-0.00252030800477758
0.0141253754462276,-39.1441862485678,-0.00267819594490374
0.0158489319246111,-38.1494677609966,-0.00286422209439741
0.0177827941003892,-37.1545935297254,-0.00308573428372763
