"Freq [GHz]","dB(St(Microstrip_1B_T1,Microstrip_1B_T1)) []","dB(St(Microstrip_1B_T2,Microstrip_1B_T1)) []"
8.91250938133746E-07,-91.3498644098706,-0.000966327906776361
1E-06,-91.3498586168046,-0.000966327906735855
1.12201845430196E-06,-91.3498517380268,-0.000966327922487003
1.25892541179417E-06,-91.3498428814324,-0.00096632794217401
1.41253754462275E-06,-91.3498323178602,-0.000966327981596245
1.58489319246111E-06,-91.3498184159306,-0.000966328017047902
1.77827941003892E-06,-91.3498008505945,-0.000966328052472555
1.99526231496888E-06,-91.3497798718263,-0.000966328119466051
2.23872113856834E-06,-91.3497525088393,-0.000966328198269051
2.51188643150958E-06,-91.3497181117332,-0.000966328288869981
2.81838293126445E-06,-91.3496747003131,-0.000966328407058567
3.16227766016838E-06,-91.349620564637,-0.000966328560715206
3.54813389233575E-06,-91.3495517790894,-0.000966328734018345
3.98107170553497E-06,-91.3494656970722,-0.000966328974344877
4.46683592150963E-06,-91.3493567110787,-0.000966329261909424
5.01187233627272E-06,-91.3492206187053,-0.000966329644071518
5.62341325190349E-06,-91.3490480434061,-0.000966330097076168
6.30957344480193E-06,-91.3488312744218,-0.00096633067615848
7.07945784384138E-06,-91.3485585551301,-0.000966331416786507
7.94328234724281E-06,-91.3482152233841,-0.000966332346502577
8.91250938133746E-06,-91.347782656595,-0.000966333520477181
1E-05,-91.347238813417,-0.000966334997792555
1.12201845430196E-05,-91.3465536600309,-0.000966336845387224
1.25892541179417E-05,-91.3456910028249,-0.000966339169647986
1.41253754462276E-05,-91.3446057847845,-0.000966342112446087
1.58489319246111E-05,-91.3432393240288,-0.000966345807659539
1.77827941003892E-05,-91.3415197834881,-0.000966350475965482
1.99526231496888E-05,-91.3393547469356,-0.000966356318145733
2.23872113856834E-05,-91.3366307716448,-0.000966363704670548
2.51188643150958E-05,-91.3332021395798,-0.000966372997888678
2.81838293126445E-05,-91.3288877594299,-0.00096638467442572
3.16227766016838E-05,-91.3234596312183,-0.000966399400169878
3.54813389233575E-05,-91.3166312086609,-0.000966417927473837
3.98107170553497E-05,-91.3080423824103,-0.000966441245148479
4.46683592150963E-05,-91.2972423498616,-0.000966470613874043
5.01187233627273E-05,-91.2836664894046,-0.000966507593670134
5.62341325190349E-05,-91.2666061023263,-0.000966554122672702
6.30957344480193E-05,-91.2451783259218,-0.000966612722255846
7.07945784384137E-05,-91.2182803366225,-0.000966686480881437
7.94328234724282E-05,-91.1845412842671,-0.000966779349900987
8.91250938133746E-05,-91.142259442599,-0.000966896253598743
0.0001,-91.0893333916908,-0.000967043432145853
0.000112201845430196,-91.0231772468404,-0.000967228709306557
0.000125892541179417,-90.9406309628642,-0.00096746197719061
0.000141253754462276,-90.8378586594245,-0.000967755637243801
0.000158489319246111,-90.7102472784167,-0.000968125337154538
0.000177827941003892,-90.5523121442714,-0.000968590758641858
0.000199526231496888,-90.357623522048,-0.000969176681192545
0.000223872113856834,-90.1187727740552,-0.000969914329491516
0.000251188643150958,-89.8274057570669,-0.000970842972762593
0.000281838293126446,-89.4743454949487,-0.000972012044419804
0.000316227766016838,-89.0498385484905,-0.000973483848914565
0.000354813389233575,-88.5439275854995,-0.000975336738891491
0.000398107170553497,-87.946961643905,-0.00097766938443882
0.000446683592150963,-87.2502010133725,-0.000980606025291416
0.000501187233627273,-86.4464564720836,-0.000984303049110024
0.000562341325190349,-85.5306759044971,-0.000988957365245179
0.000630957344480193,-84.5003773750691,-0.000994816824104051
0.000707945784384137,-83.3558500914506,-0.00100219352081219
0.000794328234724282,-82.1000793332327,-0.00101148033598034
0.000891250938133746,-80.7384079287313,-0.0010231718981891
0.001,-79.2779949248914,-0.00103789499674434
0.00112201845430196,-78.2197777965329,-0.00105531116918329
0.00125892541179417,-77.8434512198889,-0.00107445196393455
0.00141253754462276,-77.9314097140292,-0.00109526307212774
0.00158489319246111,-78.3301700647625,-0.00111791502666602
0.00177827941003892,-78.8858138085642,-0.00114279378176685
0.00199526231496888,-79.4134065197931,-0.00117046019497448
0.00223872113856834,-79.7215307139908,-0.00120159266734407
0.00251188643150958,-79.7036480301183,-0.00123692644517863
0.00281838293126445,-79.4036221617203,-0.00127720155310183
0.00316227766016838,-78.9565360670141,-0.00132312878584057
0.00354813389233575,-78.4827972499592,-0.00137537686920642
0.00398107170553497,-78.0444835251665,-0.00143457308433293
0.00446683592150963,-77.659041732602,-0.00150130108609024
0.00501187233627272,-77.3255209699837,-0.00157608511551813
0.00562341325190349,-77.0386869763777,-0.0016593719620076
0.00630957344480193,-76.7885399939708,-0.00175154365635331
0.00707945784384137,-76.5553264669614,-0.00185299134258692
0.00794328234724282,-76.3109333694518,-0.00196425115308562
0.00891250938133746,-76.0295313743415,-0.00208616841621204
0.01,-75.70096038352,-0.00222004010112084
0.0112201845430196,-75.3368876731849,-0.00236769112195962
0.0125892541179417,-74.9655456160714,-0.00253145807994877
0.0141253754462276,-74.619918261331,-0.00271407450590519
0.0158489319246111,-74.3271466619859,-0.00291847116384742
0.0177827941003892,-74.1032302455305,-0.00314752384095195
0.0199526231496888,-73.9529689912552,-0.00340379924889699
0.0223872113856834,-73.8734928306599,-0.00368936368575578
0.0251188643150958,-73.8595274910824,-0.0040057210549691
0.0281838293126445,-73.9084892095714,-0.00435392723842436
0.0316227766016838,-74.0237891130561,-0.00473488254281689
0.0354813389233575,-74.2159411140148,-0.00514974171140852
0.0398107170553497,-74.5027853155946,-0.00560032487277636
0.0446683592150963,-74.9111185104814,-0.00608939131775257
0.0501187233627272,-75.4812543008447,-0.00662066941775794
0.0562341325190349,-76.2727665401389,-0.00719861570697046
0.0630957344480193,-77.3612220649278,-0.00782797709799452
0.0707945784384137,-78.7845639471962,-0.00851331861555795
0.0794328234724282,-80.2703046280701,-0.0092587326679405
0.0891250938133746,-80.5674047299043,-0.0100679546847427
0.1,-78.5287948567112,-0.0109450631791522
0.11,-76.8988111146573,-0.0115292165183436
0.12,-74.7986916692395,-0.0121428440595822
0.13,-72.7424610326525,-0.0127813962897426
