"Freq [GHz]","dB(St(Diff1,Diff1)) []","dB(St(Diff2,Diff1)) []"
6.30957344480193E-07,-63.4418213631184,-0.00328356300515788
7.07945784384138E-07,-63.44182175259,-0.00328356301278184
7.94328234724281E-07,-63.4418222305614,-0.00328356301802591
8.91250938133746E-07,-63.4418228348047,-0.00328356302723389
1E-06,-63.4418235993183,-0.00328356303804713
1.12201845430196E-06,-63.4418245628901,-0.00328356305387097
1.25892541179417E-06,-63.4418257702752,-0.00328356307085534
1.41253754462275E-06,-63.4418272939028,-0.00328356309049936
1.58489319246111E-06,-63.4418292113559,-0.00328356311898576
1.77827941003892E-06,-63.4418316342174,-0.00328356315798151
1.99526231496888E-06,-63.4418346691957,-0.00328356320018582
2.23872113856834E-06,-63.4418384949954,-0.00328356325475073
2.51188643150958E-06,-63.4418433172575,-0.00328356332694732
2.81838293126445E-06,-63.4418493817334,-0.00328356341417382
3.16227766016838E-06,-63.4418570195723,-0.0032835635244005
3.54813389233575E-06,-63.4418666318374,-0.00328356366403871
3.98107170553497E-06,-63.44187873667,-0.00328356383917084
4.46683592150963E-06,-63.4418939774728,-0.00328356406273052
5.01187233627272E-06,-63.4419131654751,-0.00328356434143874
5.62341325190349E-06,-63.4419373152443,-0.00328356469212168
6.30957344480193E-06,-63.4419677213898,-0.00328356513480151
7.07945784384138E-06,-63.4420059996021,-0.00328356569244467
7.94328234724281E-06,-63.4420541871292,-0.00328356639252171
8.91250938133746E-06,-63.4421148594687,-0.00328356727638707
1E-05,-63.4421912404962,-0.00328356838972181
1.12201845430196E-05,-63.4422873903038,-0.00328356978460386
1.25892541179417E-05,-63.4424084446099,-0.00328357154552192
1.41253754462276E-05,-63.4425608455918,-0.00328357376308084
1.58489319246111E-05,-63.4427527164099,-0.00328357655826168
1.77827941003892E-05,-63.4429942687208,-0.00328358006753463
1.99526231496888E-05,-63.4432983824957,-0.00328358449043561
2.23872113856834E-05,-63.443681259645,-0.00328359005752412
2.51188643150958E-05,-63.4441633097608,-0.00328359707150798
2.81838293126445E-05,-63.4447702278949,-0.00328360589382261
3.16227766016838E-05,-63.4455343722736,-0.00328361700071913
3.54813389233575E-05,-63.4464965094722,-0.00328363098543108
3.98107170553497E-05,-63.4477079973053,-0.00328364859786478
4.46683592150963E-05,-63.4492334979405,-0.00328367076648334
5.01187233627273E-05,-63.4511545254945,-0.00328369867073091
5.62341325190349E-05,-63.453573813138,-0.00328373380599127
6.30957344480193E-05,-63.4566208673977,-0.00328377803132555
7.07945784384137E-05,-63.4604590303352,-0.00328383371219272
7.94328234724282E-05,-63.4652943987871,-0.00328390381055957
8.91250938133746E-05,-63.4713871602015,-0.00328399205078346
0.0001,-63.4790660716671,-0.00328410314398919
0.000112201845430196,-63.4887468619167,-0.00328424299436859
0.000125892541179417,-63.5009558799576,-0.00328441905212788
0.000141253754462276,-63.5163604833503,-0.00328464068508268
0.000158489319246111,-63.5358083831595,-0.00328491969005844
0.000177827941003892,-63.5603788497957,-0.00328527092188429
0.000199526231496888,-63.591449880324,-0.00328571305621842
0.000223872113856834,-63.6307872957265,-0.0032862696176522
0.000251188643150958,-63.6806640265226,-0.00328697020133043
0.000281838293126446,-63.7440222604974,-0.00328785205585908
0.000316227766016838,-63.8246972422806,-0.00328896202363374
0.000354813389233575,-63.9277322363449,-0.00329035906595956
0.000398107170553497,-64.0598312477521,-0.00329211731577857
0.000446683592150963,-64.230026805566,-0.00329433001021475
0.000501187233627273,-64.4506936912851,-0.00329711435550409
0.000562341325190349,-64.7391405113475,-0.00330061767385483
0.000630957344480193,-65.120206118142,-0.00330502505573318
0.000707945784384137,-65.6306849255207,-0.00331056897781855
0.000794328234724282,-66.3272382934461,-0.0033175413416963
0.000891250938133746,-67.3011694166775,-0.00332630857720784
0.001,-68.7059550075104,-0.00333733569752775
0.00112201845430196,-70.323882291501,-0.0033515415991018
0.00125892541179417,-71.6010339386786,-0.00336877358952186
0.00141253754462276,-72.2388515638425,-0.0033879774903002
0.00158489319246111,-72.1399354058328,-0.00340839845468213
0.00177827941003892,-71.5408203169406,-0.00342978125722446
0.00199526231496888,-70.7767767967171,-0.00345240627853046
0.00223872113856834,-70.0706475422508,-0.00347699041035616
0.00251188643150958,-69.5216135879949,-0.00350451538055691
0.00281838293126445,-69.1548576925528,-0.00353604941758012
