"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
0.000112201845430196,-9.57903852306203E-05
0.000125892541179417,-9.58844197362578E-05
0.000141253754462276,-9.60028044546094E-05
0.000158489319246111,-9.61518456074775E-05
0.000177827941003892,-9.63394830525174E-05
0.000199526231496888,-9.6575713705313E-05
0.000223872113856834,-9.68731249107614E-05
0.000251188643150958,-9.72475663131727E-05
0.000281838293126446,-9.77189963687573E-05
0.000316227766016838,-9.83125491102836E-05
0.000354813389233575,-9.90598788146747E-05
0.000398107170553497,-0.000100000855514311
0.000446683592150963,-0.000101185703761528
0.000501187233627273,-0.000102677701900128
0.000562341325190349,-0.00010455659089845
0.000630957344480193,-0.000106922882711334
0.000707945784384137,-0.000109903310966118
0.000794328234724282,-0.000113657735347717
0.000891250938133746,-0.000118387900970118
0.001,-0.000124352616416208
0.00112201845430196,-0.000131827723136538
0.00125892541179417,-0.000141139333533976
0.00141253754462276,-0.000152708114500909
0.00158489319246111,-0.000167034429037471
0.00177827941003892,-0.000184704470342615
0.00199526231496888,-0.000206391740512261
0.00223872113856834,-0.000232850797144178
0.00251188643150958,-0.000264899526093387
0.00281838293126445,-0.000303386056844377
0.00316227766016838,-0.000349137418515574
0.00354813389233575,-0.000402889866496269
0.00398107170553497,-0.000465206048225007
0.00446683592150963,-0.000536391641100456
0.00501187233627272,-0.000616432182029629
0.00562341325190349,-0.000704976177153202
0.00630957344480193,-0.000801388970765478
0.00707945784384137,-0.000904890389109557
0.00794328234724282,-0.00101476925217774
0.00891250938133746,-0.00113064623639634
0.01,-0.00125274272388573
0.0112201845430196,-0.001382113687577
0.0125892541179417,-0.00152081638612626
0.0141253754462276,-0.00167200570200156
0.0158489319246111,-0.00183996128400138
0.0177827941003892,-0.00203005441847432
0.0199526231496888,-0.00224865219965028
0.0223872113856834,-0.00250293540141666
0.0251188643150958,-0.00280057817300059
0.0281838293126445,-0.00314920637694328
0.0316227766016838,-0.00355552311304076
0.0354813389233575,-0.00402397713317264
0.0398107170553497,-0.00455487849204969
0.0446683592150963,-0.00514198580364845
0.0501187233627272,-0.00576988671552636
0.0562341325190349,-0.00641209878686355
0.0630957344480193,-0.00703190391177841
0.0707945784384137,-0.00758967181977425
0.0794328234724282,-0.00806291562798166
0.0891250938133746,-0.0084884029064681
0.1,-0.00903874831524933
0.11,-0.00986339895043156
0.12,-0.0105860460981573
0.13,-0.0112032287628437
0.14,-0.0117158902059334
0.15,-0.0121281065924044
0.16,-0.0124460436546267
0.17,-0.0126771415916785
0.18,-0.0128295033548811
0.19,-0.0129114518470605
0.2,-0.0129312208390943
0.21,-0.0128967480711868
0.22,-0.0128155442988609
0.23,-0.0126946174609579
0.24,-0.0125404359816472
0.25,-0.0123589192242646
0.26,-0.0121554462824964
0.27,-0.0119348767225199
0.28,-0.0117015787098792
0.29,-0.0114594612979259
0.3,-0.0112120086333857
0.31,-0.0109623145416722
0.32,-0.0107131164613421
0.33,-0.0104668280580446
0.34,-0.0102255701037731
0.35,-0.00999119938684754
0.36,-0.00976533554317704
0.37,-0.00954938578547214
0.38,-0.00934456756558585
0.39,-0.00915192924350215
0.4,-0.00897236886097282
0.41,-0.00880665113205815
0.42,-0.00865542277002028
0.43,-0.00851922627231304
0.44,-0.00839851228410777
0.45,-0.00829365065723198
0.46,-0.00820494031630883
0.47,-0.00813261803769256
0.48,-0.00807686624031014
0.49,-0.00803781988047964
0.5,-0.00801557253599998
0.51,-0.00801018175801118
0.52,-0.00802167376257988
0.53,-0.00805004752782188
0.54,-0.00809527835644764
0.55,-0.00815732095822892
0.56,-0.00823611210176257
0.57,-0.00833157288024901
0.58,-0.00844361063170624
0.59,-0.00857212055012205
0.6,-0.00871698702048757
0.61,-0.00887808470742878
0.62,-0.00905527942420028
0.63,-0.00924842880628115
0.64,-0.00945738281134696
0.65,-0.00968198406543481
0.66,-0.00992206807312127
0.67,-0.0101774633079891
0.68,-0.0104479911981667
0.69,-0.0107334660204508
0.7,-0.0110336947153611
0.71,-0.0113484766346258
0.72,-0.0116776032315647
0.73,-0.0120208577042368
0.74,-0.0123780146006252
0.75,-0.012748839394396
0.76,-0.0131330880394941
0.77,-0.0135305065113723
0.78,-0.0139408303422615
