"Freq [GHz]","dB(St(Ant_T1,Ant_T1)) []"
0,0.000204906929341696
1E-09,0.000204906929339768
1.12201845430196E-09,0.000204906929339768
1.25892541179417E-09,0.000204906929341696
1.41253754462275E-09,0.000204906929341696
1.58489319246111E-09,0.000204906929341696
1.77827941003892E-09,0.000204906929343625
1.99526231496888E-09,0.000204906929339768
2.23872113856834E-09,0.000204906929341696
2.51188643150958E-09,0.000204906929339768
2.81838293126445E-09,0.000204906929343625
3.16227766016838E-09,0.000204906929341696
3.54813389233575E-09,0.000204906929339768
3.98107170553497E-09,0.000204906929343625
4.46683592150963E-09,0.000204906929339768
5.01187233627272E-09,0.000204906929339768
5.62341325190349E-09,0.000204906929335911
6.30957344480193E-09,0.000204906929339768
7.07945784384138E-09,0.000204906929337839
7.94328234724282E-09,0.000204906929335911
8.91250938133745E-09,0.000204906929333982
1E-08,0.000204906929332053
1.12201845430196E-08,0.000204906929328196
1.25892541179417E-08,0.000204906929324339
1.41253754462275E-08,0.000204906929320482
1.58489319246111E-08,0.000204906929316625
1.77827941003892E-08,0.00020490692930891
1.99526231496888E-08,0.000204906929299267
2.23872113856834E-08,0.000204906929289624
2.51188643150958E-08,0.000204906929274195
2.81838293126445E-08,0.000204906929260695
3.16227766016838E-08,0.00020490692923948
3.54813389233575E-08,0.00020490692921248
3.98107170553497E-08,0.000204906929179693
4.46683592150963E-08,0.000204906929137264
5.01187233627272E-08,0.000204906929085191
5.62341325190349E-08,0.000204906929019619
6.30957344480193E-08,0.00020490692893476
7.07945784384138E-08,0.000204906928830615
7.94328234724281E-08,0.000204906928695612
8.91250938133746E-08,0.000204906928527823
1E-07,0.000204906928315676
1.12201845430196E-07,0.000204906928051457
1.25892541179417E-07,0.000204906927717807
1.41253754462275E-07,0.000204906927295442
1.58489319246111E-07,0.000204906926767003
1.77827941003892E-07,0.000204906926101633
1.99526231496888E-07,0.00020490692525883
2.23872113856834E-07,0.00020490692420581
2.51188643150958E-07,0.000204906922875069
2.81838293126445E-07,0.000204906921199107
3.16227766016838E-07,0.000204906919089209
3.54813389233575E-07,0.000204906916435442
3.98107170553497E-07,0.000204906913095091
4.46683592150963E-07,0.000204906908888793
5.01187233627272E-07,0.000204906903592832
5.62341325190349E-07,0.000204906896925629
6.30957344480193E-07,0.000204906888530392
7.07945784384138E-07,0.000204906877963541
7.94328234724281E-07,0.00020490686466385
8.91250938133746E-07,0.000204906847917735
1E-06,0.000204906826834176
1.12201845430196E-06,0.000204906800292653
1.25892541179417E-06,0.000204906766877566
1.41253754462275E-06,0.000204906724812666
1.58489319246111E-06,0.000204906671851122
1.77827941003892E-06,0.000204906605179094
1.99526231496888E-06,0.000204906521251797
2.23872113856834E-06,0.000204906415585215
2.51188643150958E-06,0.000204906282559379
2.81838293126445E-06,0.000204906115092436
3.16227766016838E-06,0.00020490590426071
3.54813389233575E-06,0.000204905638841622
3.98107170553497E-06,0.000204905304698466
4.46683592150963E-06,0.00020490488403789
5.01187233627272E-06,0.000204904354455239
5.62341325190349E-06,0.000204903687752315
6.30957344480193E-06,0.000204902848423417
7.07945784384138E-06,0.000204901791771093
7.94328234724281E-06,0.000204900461522377
8.91250938133746E-06,0.000204898786837516
1E-05,0.000204896678539538
1.12201845430196E-05,0.000204894024340943
1.25892541179417E-05,0.000204890682907446
1.41253754462276E-05,0.000204886476292038
1.58489319246111E-05,0.000204881180477089
1.77827941003892E-05,0.000204874513434324
1.99526231496888E-05,0.000204866120124098
2.23872113856834E-05,0.000204855553568024
2.51188643150958E-05,0.000204842251055715
2.81838293126445E-05,0.000204825504172262
3.16227766016838E-05,0.000204804421078489
3.54813389233575E-05,0.000204777879007363
3.98107170553497E-05,0.000204744464473239
4.46683592150963E-05,0.000204702397996286
5.01187233627273E-05,0.000204649439326735
5.62341325190349E-05,0.000204582768133346
6.30957344480193E-05,0.00020449883378395
7.07945784384137E-05,0.00020439316625291
7.94328234724282E-05,0.000204260137991684
8.91250938133746E-05,0.000204092664199524
0.0001,0.000203881825388398
0.000112201845430196,0.000203616392203839
0.000125892541179417,0.000203282227105602
0.000141253754462276,0.000202861531010678
0.000158489319246111,0.000202331894659766
0.000177827941003892,0.000201665104018947
0.000199526231496888,0.000200825635836255
0.000223872113856834,0.000199768762839995
0.000251188643150958,0.00019843816697935
0.000281838293126446,0.00019676293258038
0.000316227766016838,0.000194653757607232
0.000354813389233575,0.000191998178640954
0.000398107170553497,0.000188654551118383
0.000446683592150963,0.000184444457606368
0.000501187233627273,0.000179143129351116
0.000562341325190349,0.00017246735438477
0.000630957344480193,0.000164060201868137
0.000707945784384137,0.000153471707433803
0.000794328234724282,0.000140134424746359
0.000891250938133746,0.000123332436393725
0.001,0.000102157964073461
0.00112201845430196,7.57096425079815E-05
0.00125892541179417,4.30239962234617E-05
0.00141253754462276,2.80997962625492E-06
0.00158489319246111,-4.63978533230457E-05
0.00177827941003892,-0.000106215760044914
0.00199526231496888,-0.000178359726255297
0.00223872113856834,-0.000264559344167222
0.00251188643150958,-0.000366432291020852
0.00281838293126445,-0.000485322152285611
0.00316227766016838,-0.000622113813705037
0.00354813389233575,-0.000777055154200567
0.00398107170553497,-0.000949627344977763
0.00446683592150963,-0.0011385124638229
0.00501187233627272,-0.0013417001109837
0.00562341325190349,-0.00155675171169771
0.00630957344480193,-0.00178120648778376
0.00707945784384137,-0.00201307767961844
0.00794328234724282,-0.00225136490385839
0.00891250938133746,-0.00249650772910553
0.01,-0.00275072653456715
0.0112201845430196,-0.00301822976006112
0.0125892541179417,-0.00330529719451103
0.0141253754462276,-0.00362026446877567
0.0158489319246111,-0.00397342866005781
0.0177827941003892,-0.00437687008818087
0.0199526231496888,-0.0048441460845577
0.0223872113856834,-0.00538976459043795
0.0251188643150958,-0.00602829497003606
0.0281838293126445,-0.00677292976285099
0.0316227766016838,-0.00763329325092339
0.0354813389233575,-0.00861233814596735
0.0398107170553497,-0.00970234541906002
0.0446683592150963,-0.010880440423369
0.0501187233627272,-0.0121047738560921
0.0562341325190349,-0.0133136664271663
0.0630957344480193,-0.0144315161719495
0.0707945784384137,-0.0153867561033071
0.0794328234724282,-0.0161478541357999
0.0891250938133746,-0.0167821788262551
0.1,-0.017538610315827
0.11,-0.0172255919859463
0.12,-0.0169308992560747
0.13,-0.0166546864360465
0.14,-0.0163962940639637
0.15,-0.0161545755611938
0.16,-0.0159281307738438
0.17,-0.0157154648402137
0.18,-0.0155150909353918
0.19,-0.0153255927936951
0.2,-0.0151456594984309
0.21,-0.0149741018159593
0.22,-0.0148098566961204
0.23,-0.0146519845214333
0.24,-0.0144996621924394
0.25,-0.0143521740759686
0.26,-0.0142089021096495
0.27,-0.0140693158591179
0.28,-0.0139329629941816
0.29,-0.0137994604351043
0.3,-0.0136684862831569
0.31,-0.0135397725648418
0.32,-0.0134130987687959
0.33,-0.0132882861265151
0.34,-0.0131651925742969
0.35,-0.0130437083289328
0.36,-0.0129237520101713
0.37,-0.0128052672465151
0.38,-0.0126882197058327
0.39,-0.0125725944981247
0.4,-0.012458393903384
0.41,-0.0123456353831729
0.42,-0.0122343498395578
0.43,-0.0121245800897496
0.44,-0.012016379528908
0.45,-0.0119098109572282
0.46,-0.0118049455506179
0.47,-0.0117018619570299
0.48,-0.0116006455029687
0.49,-0.0115013874967049
0.5,-0.0114041846165412
0.51,-0.0113091383740964
0.52,-0.0112163546437251
0.53,-0.0111259432505407
0.54,-0.0110380176103398
0.55,-0.0109526944156437
0.56,-0.0108700933628173
0.57,-0.0107903369157919
0.58,-0.0107135501025673
0.59,-0.0106398603410267
0.6,-0.0105693972911528
0.61,-0.0105022927309115
0.62,-0.0104386804535977
0.63,-0.0103786961844837
0.64,-0.0103224775150784
0.65,-0.0102701638532886
0.66,-0.0102218963881655
0.67,-0.0101778180678977
0.68,-0.0101380735900174
0.69,-0.0101028094027535
0.7,-0.0100721737167141
0.71,-0.0100463165260403
0.72,-0.0100253896383852
0.73,-0.0100095467130237
0.74,-0.00999894330653077
0.75,-0.0099937369254676
0.76,-0.00999408708559034
0.77,-0.0100001553770761
0.78,-0.0100121055353299
0.79,-0.0100301035168665
0.8,-0.0100543175798512
0.81,-0.0100849183687945
0.82,-0.0101220790028741
0.83,-0.0101659751673826
0.84,-0.010216785207649
0.85,-0.0102746902248245
0.86,-0.0103398741727479
0.87,-0.0104125239550278
0.88,-0.0104928295214957
0.89,-0.010580983962779
0.9,-0.0106771836019045
0.91,-0.0107816280813959
0.92,-0.0108945204443368
0.93,-0.0110160672074731
0.94,-0.0111464784243117
0.95,-0.011285967735825
0.96,-0.0114347524059855
0.97,-0.0115930533391759
0.98,-0.0117610950759707
0.99,-0.0119391057634441
1,-0.0121273170956565
1.01,-0.0123259642195897
1.02,-0.0125352856010706
1.03,-0.0127555228448764
1.04,-0.0129869204624998
1.05,-0.0132297255804831
1.06,-0.0134841875816159
1.07,-0.0137505576706816
1.08,-0.0140290883557984
1.09,-0.0143200328358927
1.1,-0.0146236442843463
1.11,-0.0149401750183126
1.12,-0.0152698755431945
1.13,-0.0156129934613314
1.14,-0.0159697722343694
1.15,-0.0163404497889606
1.16,-0.0167252569563637
1.17,-0.0171244157375609
1.18,-0.0175381373872847
1.19,-0.017966620312582
1.2,-0.0184100477845259
1.21,-0.0188685854653796
1.22,-0.0193423787581376
1.23,-0.019831549990947
1.24,-0.0203361954551065
1.25,-0.0208563823233017
1.26,-0.0213921454827413
1.27,-0.0219434843275107
1.28,-0.0225103595646167
1.29,-0.0230926900987745
1.3,-0.0236903500724267
1.31,-0.0243031661479655
1.32,-0.0249309151299512
1.33,-0.0255733220342075
1.34,-0.0262300587180062
1.35,-0.0269007431907063
1.36,-0.027584939725655
1.37,-0.0282821598918369
1.38,-0.0289918646166913
1.39,-0.0297134673792964
1.4,-0.0304463386157693
1.41,-0.0311898113956886
1.42,-0.0319431884010066
1.43,-0.0327057502081333
1.44,-0.0334767648408564
1.45,-0.0342554985304587
1.46,-0.0350412275916804
1.47,-0.0358332513057715
1.48,-0.0366309056992414
1.49,-0.0374335781302774
1.5,-0.0382407226547983
